AnumOfParts,Asound,BnumOfParts,Bsound,CongColorFullRec,CongPartFullRec,Congruency,Correct,HTAdur,HTBdur,LTAdur,LTBdur,LargerArea,LargerFullArea,LargerPart,PartsDistance,PartsRatio,RelatioToHalf,acc,accuracy,allowed_responses,average_response_time,avg_rt,background,canvas_backend,cols,column_order,compensation,coordinates,correct,correct_response,count_TaskFrac,count_TaskSize,count_TrainFrac,count_TrainSize,count_Train_sequence,count_Trial_Sequence,count_Welcome,count_blank,count_correctFDBK,count_endAll,count_endTA,count_experiment,count_fracInst,count_genInst,count_logger,count_pausa,count_rF,count_response,count_sizeInst,count_sketchpad,count_sound1,count_sound2,count_startFrac,count_startSize,count_wF,count_wrongFDBK,cycles,description,duration,fade_in,flush,flush_keyboard,font_bold,font_family,font_italic,font_size,foreground,form_text,form_title,height,item,keyboard_backend,maxStartA,maxStartB,mouse_backend,ok_text,order,pan,pitch,repeat,repeat_cycle,response,response_pausa,response_response,response_sound1,response_sound2,response_time,response_time_pausa,response_time_response,response_time_sound1,response_time_sound2,rows,sample,sampler_backend,start,stop_after,subject_nr,subject_parity,synth_backend,time_TaskFrac,time_TaskSize,time_TrainFrac,time_TrainSize,time_Train_sequence,time_Trial_Sequence,time_Welcome,time_blank,time_correctFDBK,time_endAll,time_endTA,time_experiment,time_fracInst,time_genInst,time_logger,time_pausa,time_rF,time_response,time_sizeInst,time_sketchpad,time_sound1,time_sound2,time_startFrac,time_startSize,time_wF,time_wrongFDBK,timeout,title,transparent_variables,volume,width
"2","52A_2-8-part.wav","5","52B_5-8-part.wav","congruent","Incongruent","Incongruent","a","1224","662","4892","1060","Left","Left","Right","3","2,500","Cross","71.4285714286","71.4285714286","NA","991","991","black","xpyriment","NA","NA","0","relative","1","1","0","0","0","0","13","NA","0","13","13","0","13","0","0","0","13","13","NA","13","0","13","13","13","0","0","NA","13","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","3668","398","xpyriment","NA","NA","NA","NA","NA","0","a","NA","a","NA","NA","2086","NA","2086","NA","NA","NA","NA","legacy","experiment","NA","0","even","legacy","NA","NA","NA","NA","NA","NA","10881919","10957623","10956355","NA","10956663","NA","NA","10884435","NA","10960150","NA","10961116","10886499","10957459","10957723","10960600","NA","NA","NA","10946685","NA","Arava2Sound","no","NA","1024"
"5","53A_5-8-part.wav","2","53B_2-8-part.wav","Incongruent","Incongruent","Congruent","a","1222","664","1956","2652","Left","Right","Left","3","2,500","Cross","73.3333333333","73.3333333333","NA","959","959","black","xpyriment","NA","NA","0","relative","1","1","0","0","0","0","14","NA","0","14","14","0","14","0","0","0","14","14","NA","14","0","14","14","14","0","0","NA","14","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","734","1988","xpyriment","NA","NA","NA","NA","NA","0","a","NA","a","NA","NA","521","NA","521","NA","NA","NA","NA","legacy","experiment","NA","0","even","legacy","NA","NA","NA","NA","NA","NA","10881919","10964477","10963219","NA","10963527","NA","NA","10884435","NA","10965538","NA","10967287","10886499","10964318","10964577","10965988","NA","NA","NA","10946685","NA","Arava2Sound","no","NA","1024"
"2","70A_2-8-part.wav","5","70B_5-8-part.wav","Incongruent","Incongruent","Congruent","l","664","1222","2652","1956","Right","Left","Right","3","2,500","Cross","75","75","NA","1012","1012","black","xpyriment","NA","NA","0","relative","1","1","0","0","0","0","15","NA","0","15","15","0","15","0","0","0","15","15","NA","15","0","15","15","15","0","0","NA","15","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","1988","734","xpyriment","NA","NA","NA","NA","NA","0","l","NA","l","NA","NA","1805","NA","1805","NA","NA","NA","NA","legacy","experiment","NA","0","even","legacy","NA","NA","NA","NA","NA","NA","10881919","10968915","10967824","NA","10968132","NA","NA","10884435","NA","10970332","NA","10971766","10886499","10968757","10969015","10970782","NA","NA","NA","10946685","NA","Arava2Sound","no","NA","1024"
"6","73A_6-8-part.wav","5","73B_5-8-part.wav","congruent","Congruent","Congruent","a","2106","1266","2808","2024","Left","Left","Left","1","1,200","Larger","70.5882352941","70.5882352941","NA","1076","1076","black","xpyriment","NA","NA","0","relative","0","0","0","0","0","0","16","NA","0","16","16","0","16","0","0","0","16","16","NA","16","0","16","16","16","0","0","NA","16","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","702","758","xpyriment","NA","NA","NA","NA","NA","0","l","NA","l","NA","NA","2099","NA","2099","NA","NA","NA","NA","legacy","experiment","NA","0","even","legacy","NA","NA","NA","NA","NA","NA","10881919","10974841","10973588","NA","10973910","NA","NA","10884435","NA","10976326","NA","10977781","10886499","10974683","10974941","10976776","NA","NA","NA","10946685","NA","Arava2Sound","no","NA","1024"
"6","37A_6-8-part.wav","5","37B_5-8-part.wav","congruent","Congruent","Congruent","a","1826","1266","2434","2024","Left","Left","Left","1","1,200","Larger","72.2222222222","72.2222222222","NA","1066","1066","black","xpyriment","NA","NA","0","relative","1","1","0","0","0","0","17","NA","0","17","17","0","17","0","0","0","17","17","NA","17","0","17","17","17","0","0","NA","17","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","608","758","xpyriment","NA","NA","NA","NA","NA","0","a","NA","a","NA","NA","898","NA","898","NA","NA","NA","NA","legacy","experiment","NA","0","even","legacy","NA","NA","NA","NA","NA","NA","10881919","10981179","10973588","NA","10980222","NA","NA","10884435","NA","10982485","NA","10983949","10886499","10981018","10981279","10982936","NA","NA","NA","10979914","NA","Arava2Sound","no","NA","1024"
"6","19A_6-8-part.wav","5","19B_5-8-part.wav","congruent","Incongruent","Incongruent","l","1266","1546","1688","2472","Right","Right","Left","1","1,200","Larger","73.6842105263","73.6842105263","NA","1056","1056","black","xpyriment","NA","NA","0","relative","1","1","0","0","0","0","18","NA","0","18","18","0","18","0","0","0","18","18","NA","18","0","18","18","18","0","0","NA","18","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","422","926","xpyriment","NA","NA","NA","NA","NA","0","l","NA","l","NA","NA","881","NA","881","NA","NA","NA","NA","legacy","experiment","NA","0","even","legacy","NA","NA","NA","NA","NA","NA","10881919","10985976","10984863","NA","10985173","NA","NA","10884435","NA","10986920","NA","10988612","10886499","10985817","10986076","10987370","NA","NA","NA","10979914","NA","Arava2Sound","no","NA","1024"
"2","34A_2-8-part.wav","5","34B_5-8-part.wav","Incongruent","Incongruent","Congruent","l","664","942","2652","1508","Right","Left","Right","3","2,500","Cross","70","70","NA","1048","1048","black","xpyriment","NA","NA","0","relative","0","0","0","0","0","0","19","NA","0","19","19","0","19","0","0","0","19","19","NA","19","0","19","19","19","0","0","NA","19","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","1988","566","xpyriment","NA","NA","NA","NA","NA","0","a","NA","a","NA","NA","888","NA","888","NA","NA","NA","NA","legacy","experiment","NA","0","even","legacy","NA","NA","NA","NA","NA","NA","10881919","10990651","10989510","NA","10989819","NA","NA","10884435","NA","10992065","NA","10993267","10886499","10990491","10990751","10992515","NA","NA","NA","10979914","NA","Arava2Sound","no","NA","1024"
"3","77A_3-8-part.wav","2","77B_2-8-part.wav","congruent","Congruent","Congruent","a","1396","558","3724","2228","Left","Left","Left","1","1,500","Smaller","66.6666666667","66.6666666667","NA","1020","1020","black","xpyriment","NA","NA","0","relative","0","0","0","0","0","0","19","0","0","20","19","0","20","0","0","0","20","20","0","20","0","20","20","20","0","0","0","19","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","2328","1670","xpyriment","NA","NA","NA","NA","NA","0","l","NA","l","NA","NA","458","NA","458","NA","NA","NA","NA","legacy","experiment","NA","0","even","legacy","NA","NA","NA","NA","NA","NA","10881919","10997587","10989510","NA","10994479","NA","NA","10884435","NA","10999567","NA","11001124","10886499","10997423","10997704","11000017","NA","10994539","NA","10994171","NA","Arava2Sound","no","NA","1024"
"5","78A_5-8-part.wav","7","78B_7-8-part.wav","congruent","Incongruent","Incongruent","a","2194","1352","3510","1546","Left","Left","Right","2","1,400","Larger","68.1818181818","68.1818181818","NA","1013","1013","black","xpyriment","NA","NA","0","relative","1","1","0","0","0","0","19","1","0","21","19","0","21","0","0","0","21","21","1","21","0","21","21","21","0","0","1","19","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","1316","194","xpyriment","NA","NA","NA","NA","NA","0","a","NA","a","NA","NA","862","NA","862","NA","NA","NA","NA","legacy","experiment","NA","0","even","legacy","NA","NA","NA","NA","NA","NA","10881919","11002793","10989510","NA","11001856","NA","NA","10884435","NA","11004636","NA","11005845","10886499","11002631","11002893","11005087","NA","10994539","11001596","10994171","NA","Arava2Sound","no","NA","1024"
"5","3A_5-8-part.wav","4","3B_4-8-part.wav","congruent","Congruent","Congruent","a","1312","1032","2098","2062","Left","Left","Left","1","1,250","Include","69.5652173913","69.5652173913","NA","1034","1034","black","xpyriment","NA","NA","0","relative","1","1","0","0","0","0","19","2","0","22","19","0","22","0","0","0","22","22","2","22","0","22","22","22","0","0","2","19","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","786","1030","xpyriment","NA","NA","NA","NA","NA","0","a","NA","a","NA","NA","1506","NA","1506","NA","NA","NA","NA","legacy","experiment","NA","0","even","legacy","NA","NA","NA","NA","NA","NA","10881919","11007890","10989510","NA","11006984","NA","NA","10884435","NA","11009031","11006723","11010508","10886499","11007718","11007990","11009481","NA","10994539","11001596","10994171","NA","Arava2Sound","no","NA","1024"
"4","84A_4-8-part.wav","7","84B_7-8-part.wav","congruent","Incongruent","Incongruent","a","2022","1182","4042","1350","Left","Left","Right","3","1,750","Include","66.6666666667","66.6666666667","NA","1072","1072","black","xpyriment","NA","NA","0","relative","0","0","0","0","0","0","19","3","0","23","19","0","23","0","0","0","23","23","3","23","0","23","23","23","0","0","3","19","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","2020","168","xpyriment","NA","NA","NA","NA","NA","0","l","NA","l","NA","NA","1953","NA","1953","NA","NA","NA","NA","legacy","experiment","NA","0","even","legacy","NA","NA","NA","NA","NA","NA","10881919","11013180","10989510","NA","11012307","NA","NA","10884435","NA","11015295","11012049","11016420","10886499","11013022","11013280","11015745","NA","10994539","11001596","10994171","NA","Arava2Sound","no","NA","1024"
